reponame,developer1,developer2,developer3,developer4,developer5,developer6,developer7,developer8,developer9,developer10,developer11,developer12,developer13,developer14,developer15,developer16,developer17,developer18,developer19,developer20,developer21,developer22,developer23,developer24,developer25,developer26,developer27,developer28,developer29,developer30
akheron/jansson,thesamesam,DennisDNguy,ShashaDDD,mdellabitta,nitomath,coveralls,RupW,akheron,,,,,,,,,,,,,,,,,,,,,,
akka/akka,patriknw,johanandren,scala-steward,He-Pin,octonato,franciscolopezsancho,sebastian-alfers,GreyPlane,DaveDeCaprio,lolboxen,leviramsey,nirslsk,akirataguchi115,aludwiko,USHPINDER,arrowwind,lightbend-cla-validator,junglechange,andreezy777,ennru,jroper,pvlugter,efgpinto,Zhen-hao,gael-ft,0bon,DAIMENGEN,markarasev,taepyongyang,Canislupax
akvo/akvo-rsr,zuhdil,coveralls,anjarakvo,ifirmawan,,,,,,,,,,,,,,,,,,,,,,,,,,
alexreisner/geocoder,alexreisner,alexdean,arianseyeditfx,karina,guillaumj,ixti,amleaver,carlwiedemann,dcalixto,marco-gallardo,SylarRuby,woodhull,amowu,RongRongTeng,wizardbeard,coder2000,,,,,,,,,,,,,,
andk/pause,neilb,ilmari,haarg,rjbs,Grinnz,wolfsage,Perlbotics,ap,karenetheridge,andk,ferki,,,,,,,,,,,,,,,,,,,
angular/components,crisbeto,mmalerba,wagnermaciel,zarend,andrewseguin,aanchal88,amysorto,Naaajii,devversion,behzadmehrabi,angular-robot,jelbourn,alkavats1,amakhrov,BobobUnicorn,michaelfaith,fireflysemantics,robertIsaac,nishchay7pixels,SaishNarvekar,iKrishnaSahu,josephperrott,LayZeeDK,AlixRoyere,wartab,raysuelzer,kvizcarra,spike-rabbit,liesahead,Nomackleo
ankit/stylebot,joshseltzer,mooozi,SysAdminDoc,mrstar55,ryanmcfall,Dave314159,dhry,ianrandmckenzie,H4x0r5,thanoguyn,miracuruzrh,mark100net,589290,taylordolan,,,,,,,,,,,,,,,,
ansible/ansible,mattclay,ansibot,s-hertel,bcoca,sivel,webknjaz,Akasurde,mkrizek,felixfontein,samccann,nitzmahone,oraNod,jborean93,flowerysong,vaygr,gotmax23,sbettid,anweshadas,toydarian,mariolenz,eversonleal,JaroslavKlech,theunkn0wn1,AlanCoding,Aysha-py,Zocker1999NET,riadhhamdi,ari75,ErikJiang,n2N8Z
antlr/antlr4,ericvergnaud,kaby76,jimidle,KvanTTT,parrt,DavidGregory084,Andarist,wangtao9,ncordon,agatti,matthew-dean,vega0,Tarjei400,ArthurSonzogni,whubeibei,mike-lischke,artemseleznev,fbiville,trmjoa,Codex-,cyqw,TheVeryDarkness,philipmiesbauer,css521,killerall,octogonz,pyxherb,3405691582,TristonianJones,KOLANICH
Anuken/Mindustry,Anuken,MEEPofFaith,Darkness6030,BalaM314,way-zer,phinner,SSTentacleSS,Yoru-Kitsune,Otamamori917,Slotterleet,JniTrRny,bend-n,buthed010203,SITUVNgcd,stacktrace-error,rekokoro,Mythril382,camelStyleUser,Lime712,frieda666,3Snake3,Phippe,Agzam-Ar,Kieaer,JasperChaseTOQ,thedimas3007,HamzaGSopp,tech3mi,BeDanGames,Shawak
apache/accumulo,keith-turner,dlmarion,ctubbsii,cshannon,EdColeman,DomGarguilo,ddanielr,ivakegg,Manno15,jmark99,jschmidt10,cawaring,FineAndDandy,alerman,hlgp,AlbertWhitlock,keith-ratcliffe,dtspence,avgAGB,,,,,,,,,,,
apache/activemq,jbonofre,mattrpav,cshannon,jbertram,namrata-ibm,AlexejTimonin,maxfortun,lraczko,hboutemy,u8675309,vocatan,coheigea,sigee,rmannibucau,ksdevelops,hellokkiyer,demidov163,prasad5400,maverickabhi1991,opencmit2,jeanouii,narendranss,gmcdonald,,,,,,,
apache/airflow,potiuk,uranusjr,jedcunningham,eladkal,dstandish,hussein-awala,vandonr-amz,vincbeck,pankajkoti,ferruzzi,ephraimbuddy,o-nikolas,amoghrajesh,phanikumv,utkarsharma2,Adaverse,syedahsn,Lee-W,pankajastro,mobuchowski,pierrejeambrun,bbovenzi,sunank200,JDarDagran,jens-scheffler-bosch,VladaZakharova,moiseenkov,tirkarthi,shahar1,Owen-CH-Leung
apache/avro,martin-g,clesaec,kojiromike,ftelnov,RyanSkraba,alexrosenfeld10,jychen7,sarutak,jklamer,aiven-anton,subhashb,mparry,RikHeijdens,dervan,nryanov,zcsizmadia,opwvhk,peter-formlogic,nielsbasjes,peknu,steven-aerts,tjwp,andrewinci,akshat0395,snuyanzin,asosnovsky,xuwenlong02,edoardocostantinidev,MarkPaxton,piotaixr
apache/camel,orpiske,davsclaus,essobedo,oscerd,ppalaga,ammachado,jamesnetherton,Croway,onderson,coheigea,EvanMi,hamed-hatami,gilvansfilho,JiriOndrusek,christophd,sekikn,LostArtist,igarashitm,apupier,alex-nt,hboutemy,sdurrenmatt,grgrzybek,marcingrzejszczak,llowinge,VaishnaviR18,jacekszymanski,claudio4j,mcarlett,rhuan080
apache/cassandra,maedhroz,adelapena,smiklosovic,bereng,michaelsembwever,mike-tr-adamson,Mmuzaf,dcapwell,jacek-lewandowski,Maxwell-Guo,blambov,pkolaczk,jmckenzie-dev,jonmeredith,driftx,jakubzytka,ekaterinadimitrova2,iamaleksey,jbellis,Claudenw,blerer,frankgh,yifan-c,djatnieks,jyothsnakonisa,JeetKunDoug,xgerman,bschoening,mghildiy,aweisberg
apache/commons-collections,aherbert,Claudenw,codecov-commenter,kinow,yannizhou05,anantdahiya8,garydgregory,arturobernalg,pas725,XenoAmess,marcwrobel,Simulant87,,,,,,,,,,,,,,,,,,
apache/commons-compress,garydgregory,codecov-commenter,mawiesne,Glavo,tballison,step-security-bot,DG266,mkoncek,,,,,,,,,,,,,,,,,,,,,,
apache/commons-io,garydgregory,codecov-commenter,SwingGuy1024,maxxedev,Marcono1234,jmloudis,li-keguo,tresf,tbw777,,,,,,,,,,,,,,,,,,,,,
apache/commons-lang,orionlibs,garydgregory,theshoeshiner,codecov-commenter,elharo,aherbert,remeio,shashankrnr32,greatmastermario,bozzelliandrea,RestartCoding,YektaDev,rahulcodespace,step-security-bot,djcoleman,debae,Osdel,,,,,,,,,,,,,
apache/couchdb,nickva,rnewson,pgj,jiahuili430,big-r81,jaydoane,janl,ronnieroyston,chewbranca,iilyak,sergey-safarov,ecerulm,glynnbird,jdai1,flimzy,manurajsingh,emmanuel-ferdman,mohmesflir,dbeniteza,pavlov2000uk,xrobau,davisp,ricellis,till,willholley,robertfiko,aeytom,OlekMazur,benel,jcoglan
apache/dubbo,AlbumenJ,songxiaosheng,wxbty,codecov-commenter,CrazyHZM,suncairong163,icodening,chickenlj,conghuhu,finefuture,wegod,carlvine500,xixingya,shaonianxingzhong,EarthChen,gulang12,qijun4tian,JavaLionLi,AYue-94,liufeiyu1002,fawks96,CodePlayer,tohidemyname,jojocodeX,stonelion,hujun-w-2,xlq20080808,xieshouyu,wuwen5,luger1990
apache/echarts,plainheart,Ovilia,helgasoft,linghaoSu,RahulVishK,ragava28,battlebeast01,adoin,CrazyRedTime,minghangben,Traumflug,c0225,suncg-sgla,LBJDJW,jiawulin001,haolang,CarsonLoi,zz0v0,zhouzhili,pissang,sjcobb,hughess,shiziburuchengzi,Quska45,ngoctuan001,fvales,nieyuan1980,bk-m,mukiwu,martingrumbt
apache/geronimo-xbean,rmannibucau,powerbroker,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apache/hive,deniskuzZ,zhangbutao,SourabhBadhya,ayushtkn,simhadri-g,aturoczy,dengzhhu653,kasakrisz,InvisibleProgrammer,difin,okumin,veghlaci05,wecharyu,zabetak,saihemanth-cloudera,akshat0395,amanraj2520,rkirtir,tarak271,Diksha628,soumyakanti3578,maswin,scarlin-cloudera,abstractdog,henrib,rtrivedi12,ngsg,sercanCyberVision,Aggarwal-Raghav,mdayakar
apache/httpcomponents-client,ok2c,arturobernalg,garydgregory,ChristophKaser,jvasileff,cushon,stanio,ydylla,MaheshGPai,kervin521,vlsi,,,,,,,,,,,,,,,,,,,
apache/httpd,ylavic,icing,rpluem,Mrida,notroj,thomasmey,AlexAT,sgreiner,jfclere,mohd-akram,adelton,Mayank-2545,pzalewski-thegoodpenguin,jmlsteele,tumatanquang,dimitry-unified-streaming,covener,,,,,,,,,,,,,
apache/iceberg,rdblue,nastra,aokolnychyi,Fokko,szehon-ho,ConeyLiu,RussellSpitzer,stevenzwu,ajantha-bhat,coufon,jackye1995,skytin1004,flyrain,dramaticlly,pvary,rakesh-das08,MaxNevermind,snazy,amogh-jahagirdar,wypoon,liuxiaocs7,hililiwei,danielcweeks,manuzhang,chenjunjiedada,bryanck,singhpk234,ggershinsky,coded9,huaxingao
apache/jackrabbit-oak,reschke,mreutegg,stefan-egli,rishabhdaim,nfsantos,fabriziofortino,anchela,kwin,thomasmueller,tihom88,jelmini,mbaedke,steffenvan,joerghoh,ankitaagar,nit0906,antoniu98,amit-jain,ahanikel,smiroslav,chibulcuteanu,adamcin,lweitzendorf,bhellema,nasokan,,,,,
apache/jmeter,vlsi,renovate-bot,milamberspace,FSchumacher,alexsch01,vdaburon,ra0077,fit2-zhao,salmansharifov,dgetzlaf,Ninja-Cyborg,markuswege,nagkumar,v-barros,octaviand2,koudela5,pmirek,rizwanraj,anasoid,AditiS06,pochopsp,steverawlins-zebra,mouday,vperaltac,vipergreat,zcai2023,linvaux,mauritz-lovgren,wildd0g,mawasak
apache/kafka,dajac,jolshan,divijvaidya,jeffkbkim,C0urante,showuon,cadonna,vamossagar12,cmccabe,yashmayya,mumrah,mjsax,hudeqi,clolov,rreddy-22,gharris1727,satishd,mimaison,fvaleri,machi1990,junrao,kirktrue,lihaosky,philipnee,vcrfxia,wcarlson5,ijuma,kamalcph,jeqo,jsancio
apache/libcloud,llamasoft,mohammad-aburadeh,SamuelMarks,outscale-mgo,rsnk96,rvandegrift,jwk404,Ekhmal0224,jklint,jan-mue,foospidy,harshvar2,thomas-riccardi,,,,,,,,,,,,,,,,,
apache/lucenenet,laimis,NightOwl888,Jeevananthan-23,rclabo,triandco,zhanghaixingxing,reza1370programmer,suchoss,Shazwazza,chenhh021,Almas1997,eladmarg,xsharper,Dunnymeister,jeffreywstevens,,,,,,,,,,,,,,,
apache/maven-archetype,elharo,qxo,timtebeek,slachiewicz,cstamas,michael-o,,,,,,,,,,,,,,,,,,,,,,,,
apache/maven-doxia,timtebeek,michael-o,elharo,kwin,Jotschi,slachiewicz,,,,,,,,,,,,,,,,,,,,,,,,
apache/maven-enforcer,slawekjaranowski,Stephan202,elharo,alexey-anufriev,timtebeek,kwin,ajarmoniuk,Jorgeadrianmelgar,,,,,,,,,,,,,,,,,,,,,,
apache/maven-plugin-tools,kwin,gnodet,slawekjaranowski,cstamas,michael-o,JLLeitschuh,hboutemy,bmarwell,elharo,,,,,,,,,,,,,,,,,,,,,
apache/maven-release,slawekjaranowski,elharo,michael-o,kwin,hboutemy,nielsbasjes,slachiewicz,tonymcveigh,timtebeek,wuwen5,gnodet,scott-avery,,,,,,,,,,,,,,,,,,
apache/maven-site,cstamas,slawekjaranowski,hboutemy,kwin,cdprete,tlmikulski,dalbani,rmgrimm,Giovds,wetneb,gnodet,maffe,,,,,,,,,,,,,,,,,,
apache/maven,gnodet,elharo,cstamas,CrazyHZM,michael-o,slawekjaranowski,hboutemy,mthmulders,rmannibucau,hgschmie,kwin,bvolpato,adangel,slachiewicz,Giovds,ywluogg,kun-lu20,lprimak,timtebeek,samarlah,marcphilipp,candrews,xstefank,olamy,MartinKanters,srijyothsna5354,talios,hazendaz,psiroky,khmarbaise
apache/mina-sshd,tomaswolf,FliegenKLATSCH,hannibal218bc,hboutemy,archiecobbs,SPuerBRead,VijayJoinGitHub,thachlp,artembilan,jglick,GeezFORCE,916004811,beijishiqidu,HannesWell,hubick,gnodet,vauns,Tilden18,acho-bacho,wic4j,mkeckmkeck,lgoldstein,gantzm,techmaddy,Pungero,nightman68,,,,
apache/poi,jsoref,pjfanning,tballison,aschott-looker,xehonk,ebourg,clayburn,opeongo,ningpp,centic9,,,,,,,,,,,,,,,,,,,,
apache/shiro,lprimak,vasumakwana,bmarwell,sam2099,fpapon,,,,,,,,,,,,,,,,,,,,,,,,,
apache/spark,HyukjinKwon,LuciferYang,MaxGekk,cloud-fan,zhengruifeng,panbingkun,beliefer,dongjoon-hyun,dtenedor,rangadi,hvanhovell,juliuszsompolski,itholic,amaliujia,ueshin,allisonwang-db,WweiL,gengliangwang,grundprinzip,Hisoka-X,zhenlineo,mridulm,pan3793,ulysses-you,aokolnychyi,HeartSaVioR,wangyum,yaooqinn,xinrong-meng,viirya
apache/superset,john-bodley,michael-s-molina,villebro,rusackas,dpgaspar,eschutho,justinpark,betodealmeida,hughhhh,sebastianliebscher,kgabryje,jfrag1,EugeneTorap,sfirke,giftig,mdeshmu,zhaoyongjie,zephyring,craig-rueda,Antonio-RiveroMartnez,alekseyolg,cwegener,Always-prog,mistercrunch,ved-kashyap-samsung,lilykuang,sadpandajoe,yousoph,NickLarsenNZ,curious86
apache/thrift,fishy,Jens-G,roshanjrajan-zip,ctubbsii,KTAtkinson,tinloaf,Jimexist,ngavalas,bogdandrutu,cozality,nicolasb29,stiga-huang,Fokko,jeffalder,sveneld,artemy-osipov,tsxiaofang,arkuhn,psarkar24,joemcdonnell,pellared,amosbird,vinooganesh,emmenlau,cyyever,kpy3,,,,
apache/tika,tballison,gastaldi,raviranjanjha,SchwingSK,tledoux,THausherr,,,,,,,,,,,,,,,,,,,,,,,,
apache/tomcat,markt-asf,rmaucher,michael-o,alexkachanov,rmannibucau,perceptron8,jfclere,aooohan,bekionel,kang-hl,fmarco76,isapir,tsryo,gohilmca,sheikhoo,neo-ytx,neillee95,DigitalFatCat,ledefe,DanielR-spec,Chaohua95,fabien-chebel,FSchumacher,pbodnar,mjgp2,rainerjung,ChristopherSchultz,,,
apache/trafficserver,JosiahWI,maskit,bneradt,ywkaras,SolidWallOfCode,cmcfarlen,jpeach,brbzull0,bryancall,zwoop,masaori335,shukitchan,traeak,duke8253,serrislew,lzx404243,moonchen,ezelkow1,randall,midchildan,dragon512,cybertunnel,mlibbey,Sage-2001,yknoya,jhiapple,hnakamur,mhomaid1,jbfavre,Cyborgscode
apache/wicket,martin-g,solomax,vrozkovec,reckart,reiern70,mattrpav,dr0ps,renoth,theigl,,,,,,,,,,,,,,,,,,,,,
apache/zookeeper,tisonkun,horizonzy,kezhuw,anmolnar,eolivelli,hangc0276,PapaCharlie,hyperxpro,lhotari,szucsvillo,SirOibaf,ctubbsii,ztzg,AlphaCanisMajoris,showuon,Shoothzj,symat,zouyonghao,jeremysprofile,behos,RabbitDong-on,ryanjdecker,vibhutisawant,changruill,wuhenaaaaa,aojiaodakun,LeeGuoPing,admxj,BinyuHuang-nju,adamyi
apereo/cas,mmoayyed,hdeadman,leleuj,apereocas-bot,pbodnar,rkorn86,prigaux,fcolin-odigo,dfish3r,ChaimNJ,elmendavies,fmartelli,mohiitgupta,dima767,ThomasSeliger,ahoramazdak,just2evil,vbonamy,,,,,,,,,,,,
appsmithorg/appsmith,Aishwarya-U-R,nidhi-nair,KelvinOm,rajatagrawal,sumitsum,sharat87,ankitakinger,NandanAnantharamu,sbalaji1192,Irongade,sneha122,akash-codemonk,jsartisan,Rishabh-Rathod,sondermanish,rohitagarwal88,tanvibhakta,arunvjn,AmanAgarwal041,berzerkeer,Vijetha-Kaja,ohansFavour,Druthi,hetunandu,nayan-rafiq,vsvamsi1,Parthvi12,rahulbarwal,ayushpahwa,AnaghHegde
arangodb/arangodb,jsteemann,MBkkt,palashkaria,maierlars,mpoeter,apetenchea,dothebart,hkernbach,markuspf,neunhoef,mchacki,Dronplane,goedderz,KVS85,Simran-B,ajurdak,cpjulia,shd8,kvahed,jvolmer,adityamukho,elade9977,nerpaula,alexbakharew,pluma4345,MUDS7,CryptoNinjaGeek,Minstel,ohsp123-arango,joerg84
archlinuxarm/PKGBUILDs,iDigitalFlame,akaWolf,wirewc,ascendbeing,vinibali,dacioromero,stephenmk,davidbeauchamp,sfan5,1ace,0xFEEDC0DE64,rocketstrong600,sharpenedblade,theironrobin,nxshock,bswartz,fanquake,yuvadm,graysky2,,,,,,,,,,,
Arduino-IRremote/Arduino-IRremote,ArminJo,maxgerhardt,amc57,mohamedhisham2426,NXC-Controls,MOTAWWF,chandradharkoneti,anhtuancta,,,,,,,,,,,,,,,,,,,,,,
aria2/aria2,qianbinbin,ECLuckyHe,HaleTom,fgvieira,fenopa,kc991229,yixinBC,ErSandeepRajput,shishirong,dmitry-ov,wastemans,bobbyrahmanda13,pierrbt,barkoder,carlos-a-g-h,1337996517,VPanteleev-S7,amsh12,frucelee,Zhouqluo,andrii-suse,badrelmers,slyfox1186,980202006,PPeanutButter,Seifon,mikeggh,TheSoumilArora,bereane,Barafu
asciinema/asciinema,sickill,Low-power,AkechiShiro,hash3liZer,PierreMarchand20,UrNightmaree,adjurk,maho,vorburger,ghcDict,soroshsabz,jikkuatwork,cosmos1721,tomowang,,,,,,,,,,,,,,,,
assimp/assimp,kimkulling,turol,feuerste,mosfet80,sashashura,tellypresence,FlorianBorn71,mwestphal,malytomas,PencilAmazing,thegeeko,vulcanozz,emaame,umlaeute,yygbruce,severin-lemaignan,Sanchikuuus,kenichiice,Jackie9527,hernot,skogler,Beilinson,SirLynix,cchuicchui,luho383,GitHubDragonFly,Biohazard90,Zi1mann,Saramandaaa,ihebmiled-user
astropy/astropy,pllim,nstarman,mhvk,eerovaher,meeseeksmachine,saimn,cmarmo,WilliamJamieson,astrofrog,taldcroft,larrybradley,Cadair,Mubin17,olebole,dhomeier,mcara,Maia-jp,bmorris3,ManonMarchand,arthurxvtv,nden,bsipocz,mwcraig,hamogu,CaioCoutinhoP,perrygreenfield,seberg,braingram,bjbomfim,AiIuru5
attr-encrypted/attr/encrypted,joshbranham,mlarraz,vimalvnair,etiennebarrie,slhck,merrington,prognostikos,hunterbmiller,mvastola,mikevoets,mzaragoza,andrewfader,mathieujobin,,,,,,,,,,,,,,,,,
AutoHotkey/AutoHotkey,jeeswg,Lexikos,jNizM,thqby,Animan8000,sswwaagg,iseahound,,,,,,,,,,,,,,,,,,,,,,,
AutoMapper/AutoMapper,lbargaoanu,JanEggers,Xriuk,jbogard,statler,killergege,Maximys,tongfei-github,gurustron,gopala000,bayramerenn,biqas,vocko,natehitze,modemaizer,Erythnul,YvonneArnoldus,DamienLaw,JohnyBro,nealrobben,wxjv99,MrZander,,,,,,,,
Automattic/mongoose,vkarpov15,hasezoey,IslandRhythms,AbdelrahmanHafez,Uzlopak,orgads,alexbevi,lorand-horvath,JavaScriptBach,mrdulin,juona,BioSurienDG,nirvikpurkait,sibelius,imduchy,MohOraby,RobertsSpaceIndustries,rkreienbuehl,dangtony98,ramos-ph,khantopa,upirr,Kamikadze4GAME,taozi0818,hardcodet,thaoula,RealAlphabet,harvey-sg,davewichers,Aralhi
aws/aws-sdk-java,debora-ito,joviegas,rickyeng127,mrahul487,JavaLionLi,vitaliysapounov,Anas-Ben-Oughrem,kharsh032,ashishdhingra,pranavbhole,jmax01,JmKanmo,waddunn,voiddrum,bgiaccio,mh2,lbenedetto,lukaszlenart,steveloughran,Khongchai,the-nguyen-databricks,saravanansbv,dzmitryv111111,Lalitha333,hleadmin,shashankpisal30,muthurajr,gerrardcowburn,gangulymanish,garretwilson
aws/aws-sdk-net,normj,ashishdhingra,dscpinheiro,danielmarbach,peterrsongg,ashovlin,boblodgett,Beau-Gosse-dev,muhammad-othman,BryanCrotaz,khteh,roelvandenbrand,jbtamaresgit,Cussa,DetlefGolze,greffgreff,RenesansJG,jerome-zenfolio,ctartamella,bmcclory,acraven,PuneetKumar-02,benlongo,PeterBenko,martincostello,mwinterb,esbenr,PriyankaHariharan,VRCWizard,renemadsen
Azure/azure-sdk-for-java,azure-sdk,alzimmermsft,weidongxu-microsoft,kushagraThapar,xinlian12,mssfang,srnagar,FabianMeiswinkel,jeet1995,samvaity,g2vinay,v-hongli1,XiaofeiCao,Netyyyy,vcolin7,saragluna,anuchandy,lmolkova,billwert,conniey,mbhaskar,ibrahimrabab,jpalvarezl,jairmyree,trande4884,mrm9084,trask,haolingdong-msft,JonathanGiles,TheovanKraay
Azure/azure-sdk-for-python,azure-sdk,xiangyan99,annatisch,YalinLi0312,kashifkhan,l0lawrence,pvaneck,kristapratico,swathipil,msyyc,lmazuel,mccoyp,scbedd,jeremydvoss,catalinaperalta,MilesHolland,vincenttran-msft,simorenoh,diondrapeck,elliotzh,jalauzon-msft,kdestin,Stephen1993,mrm9084,wangchao1230,minwoolee-msft,mjafferi-msft,bastrik,avanigupta,mengaims
balderdashy/sails,sailsbot,eashaw,Goostavo,Sampfluger88,jogbuwa,vidueirof,AbubakarZorrain,schollii,milarevictor,mushthaque7,rfalzone,DominusKelvin,neonexus,bbalat,tonysparksUC,pineconesundae,lcborn4,notblank00,RaveloMevaSoavina,rupeshpadhye,ebarojas,NachtRitter,cincodenada,,,,,,,
bareos/bareos,sebsura,arogge,bruno-at-bareos,pstorz,alaaeddineelamri,SamuelBoerlin,joergsteffens,sduehr,lluuaapp,tuxmaster5000,sebastianlederer,TheCyberBrick,,,,,,,,,,,,,,,,,,
baserproject/basercms,HungDV2022,nghiem-mb,ryuring,seto1,katokaisya,gondoh,kaburk,fuchigam1,CUkomori,GUSSAN-BEEDAN,teratai3,kk-uchino,,,,,,,,,,,,,,,,,,
bblimke/webmock,lucasarnaud,inkstak,spikeheap,marcrohloff,dmitri-minkin,Nakilon,aka-nez,brevio-nicolay,nickrisaro,james-ai,thelowlypeon,nickmealey,severinkaelin,totheroh,bblimke,Bodacious,halo,,,,,,,,,,,,,
beefproject/beef,bcoles,nzqo,Bani4kaa,AliBahlol,EvilDarkSoul,DannyBrock123,akshay123rai,swifty29320,siissioe123,manhtuan28,H28112008n,cotne1233,jsthonk,sayedarman,amartinsec,francestu96,valimikayilov,Vandalstreets,electricsinge,tramway23,ETHICPILOT,Hmmmmmmmmmmmhm,Lalosalamanc,Ginkycart,master142,nikhilonline,jcrew99,CreeperGamerGitHub,hackerishan03,1983Dan1983
benoitc/gunicorn,benoitc,kloczek,Excalartur,apollo13,tsaarni,jasonamyers,ikonst,pchaseh,DragosChirila,mattwang44,christianbundy,ankitgarg2212gmailcom,fabswt,JugeshHM,gotmax23,durgaswaroop,tilgovi,Miskler,firekim2,crankedguy,Chris-Leeworthy,revanthmahesh,ayushsquad,Zheaoli,devopstales,SaravEasy,vineetgupta0,rafagcfever,rafaeljuzwiak,kurtmckee
benwbrum/fromthepage,benwbrum,symmetrically,saracarl,sylvieed,anabeabas,,,,,,,,,,,,,,,,,,,,,,,,,
bigbluebutton/bigbluebutton,antobinary,gustavotrott,ramonlsouza,Scroody,antonbsa,hiroshisuga,paultrudel,Tainan404,GuiLeme,KDSBrowne,ffdixon,gabriellpr,danielpetri1,jorgelondo,Ithanil,TiagoJacobs,schrd,Arthurk12,GhaziTriki,vasylOstrovskyi,amg-web,kepstin,hostbbb,FreeScholar,anandchristudas,einhirn,amguirado73,danimo,snyk-bot,cod3r0k
bihealth/sodar-server,mikkonie,gromdimon,sellth,,,,,,,,,,,,,,,,,,,,,,,,,,,
biopython/biopython,peterjc,mdehoon,JoaoRodrigues,speleo3,crockeraw,michaelfm1211,BabaYaga1221,joelibaceta,sagitter,MarkusPiotrowski,rob-miller,whatever60,mcjmigdal,fx-biocoder,siddhartasr10,erik-whiting,niccolo93,thedamlab,drortobi,Bodasaieswar,iquasere,gciaberi,gph82,zruan,danielfrees,kamurani,kingfly55,pippo1990,tnrich,Hunter-Leo
bitcoin-wallet/bitcoin-wallet,Jones098,ChanarinThintip,Spyson,Quail004,Cleopatra25787778678,Porch236676,ghiegleen,soheilwikey1,wissembenayed53,farrarlarry9,Helloween45,Twonpuncho,Coins2payroll,diccey,gilbertalgordo,Doughice,nmm5060,773031187,shortyminingmybussiness,Hilltopperjm,Nikola35a,Alward0,Laye27,PUNKWISE,schildbach,minimayki6232,Sokhanetaze80,sharonleerichardson88,Xbjb8rVZ7ZJquS96Y4AJtNE4Pe9eNY1QGv,Tomkham285
