reponame,developer1,developer2,developer3,developer4,developer5,developer6,developer7,developer8,developer9,developer10,developer11,developer12,developer13,developer14,developer15,developer16,developer17,developer18,developer19,developer20,developer21,developer22,developer23,developer24,developer25,developer26,developer27,developer28,developer29,developer30
apache/cassandra,maedhroz,adelapena,smiklosovic,bereng,michaelsembwever,mike-tr-adamson,Mmuzaf,dcapwell,jacek-lewandowski,Maxwell-Guo,blambov,pkolaczk,jmckenzie-dev,jonmeredith,driftx,jakubzytka,ekaterinadimitrova2,iamaleksey,jbellis,Claudenw,blerer,frankgh,yifan-c,djatnieks,jyothsnakonisa,JeetKunDoug,xgerman,bschoening,mghildiy,aweisberg
apache/commons-compress,garydgregory,codecov-commenter,mawiesne,Glavo,tballison,step-security-bot,DG266,mkoncek,,,,,,,,,,,,,,,,,,,,,,
apache/couchdb,nickva,rnewson,pgj,jiahuili430,big-r81,jaydoane,janl,ronnieroyston,chewbranca,iilyak,sergey-safarov,ecerulm,glynnbird,jdai1,flimzy,manurajsingh,emmanuel-ferdman,mohmesflir,dbeniteza,pavlov2000uk,xrobau,davisp,ricellis,till,willholley,robertfiko,aeytom,OlekMazur,benel,jcoglan
apache/dubbo,AlbumenJ,songxiaosheng,wxbty,codecov-commenter,CrazyHZM,suncairong163,icodening,chickenlj,conghuhu,finefuture,wegod,carlvine500,xixingya,shaonianxingzhong,EarthChen,gulang12,qijun4tian,JavaLionLi,AYue-94,liufeiyu1002,fawks96,CodePlayer,tohidemyname,jojocodeX,stonelion,hujun-w-2,xlq20080808,xieshouyu,wuwen5,luger1990
apache/echarts,plainheart,Ovilia,helgasoft,linghaoSu,RahulVishK,ragava28,battlebeast01,adoin,CrazyRedTime,minghangben,Traumflug,c0225,suncg-sgla,LBJDJW,jiawulin001,haolang,CarsonLoi,zz0v0,zhouzhili,pissang,sjcobb,hughess,shiziburuchengzi,Quska45,ngoctuan001,fvales,nieyuan1980,bk-m,mukiwu,martingrumbt
apache/httpcomponents-client,ok2c,arturobernalg,garydgregory,ChristophKaser,jvasileff,cushon,stanio,ydylla,MaheshGPai,kervin521,vlsi,,,,,,,,,,,,,,,,,,,
apache/httpd,ylavic,icing,rpluem,Mrida,notroj,thomasmey,AlexAT,sgreiner,jfclere,mohd-akram,adelton,Mayank-2545,pzalewski-thegoodpenguin,jmlsteele,tumatanquang,dimitry-unified-streaming,covener,,,,,,,,,,,,,
apache/iceberg,rdblue,nastra,aokolnychyi,Fokko,szehon-ho,ConeyLiu,RussellSpitzer,stevenzwu,ajantha-bhat,coufon,jackye1995,skytin1004,flyrain,dramaticlly,pvary,rakesh-das08,MaxNevermind,snazy,amogh-jahagirdar,wypoon,liuxiaocs7,hililiwei,danielcweeks,manuzhang,chenjunjiedada,bryanck,singhpk234,ggershinsky,coded9,huaxingao
apache/jackrabbit-oak,reschke,mreutegg,stefan-egli,rishabhdaim,nfsantos,fabriziofortino,anchela,kwin,thomasmueller,tihom88,jelmini,mbaedke,steffenvan,joerghoh,ankitaagar,nit0906,antoniu98,amit-jain,ahanikel,smiroslav,chibulcuteanu,adamcin,lweitzendorf,bhellema,nasokan,,,,,
apache/kafka,dajac,jolshan,divijvaidya,jeffkbkim,C0urante,showuon,cadonna,vamossagar12,cmccabe,yashmayya,mumrah,mjsax,hudeqi,clolov,rreddy-22,gharris1727,satishd,mimaison,fvaleri,machi1990,junrao,kirktrue,lihaosky,philipnee,vcrfxia,wcarlson5,ijuma,kamalcph,jeqo,jsancio
apache/poi,jsoref,pjfanning,tballison,aschott-looker,xehonk,ebourg,clayburn,opeongo,ningpp,centic9,,,,,,,,,,,,,,,,,,,,
apache/spark,HyukjinKwon,LuciferYang,MaxGekk,cloud-fan,zhengruifeng,panbingkun,beliefer,dongjoon-hyun,dtenedor,rangadi,hvanhovell,juliuszsompolski,itholic,amaliujia,ueshin,allisonwang-db,WweiL,gengliangwang,grundprinzip,Hisoka-X,zhenlineo,mridulm,pan3793,ulysses-you,aokolnychyi,HeartSaVioR,wangyum,yaooqinn,xinrong-meng,viirya
apache/superset,john-bodley,michael-s-molina,villebro,rusackas,dpgaspar,eschutho,justinpark,betodealmeida,hughhhh,sebastianliebscher,kgabryje,jfrag1,EugeneTorap,sfirke,giftig,mdeshmu,zhaoyongjie,zephyring,craig-rueda,Antonio-RiveroMartnez,alekseyolg,cwegener,Always-prog,mistercrunch,ved-kashyap-samsung,lilykuang,sadpandajoe,yousoph,NickLarsenNZ,curious86
apache/thrift,fishy,Jens-G,roshanjrajan-zip,ctubbsii,KTAtkinson,tinloaf,Jimexist,ngavalas,bogdandrutu,cozality,nicolasb29,stiga-huang,Fokko,jeffalder,sveneld,artemy-osipov,tsxiaofang,arkuhn,psarkar24,joemcdonnell,pellared,amosbird,vinooganesh,emmenlau,cyyever,kpy3,,,,
apache/tomcat,markt-asf,rmaucher,michael-o,alexkachanov,rmannibucau,perceptron8,jfclere,aooohan,bekionel,kang-hl,fmarco76,isapir,tsryo,gohilmca,sheikhoo,neo-ytx,neillee95,DigitalFatCat,ledefe,DanielR-spec,Chaohua95,fabien-chebel,FSchumacher,pbodnar,mjgp2,rainerjung,ChristopherSchultz,,,
apereo/cas,mmoayyed,hdeadman,leleuj,apereocas-bot,pbodnar,rkorn86,prigaux,fcolin-odigo,dfish3r,ChaimNJ,elmendavies,fmartelli,mohiitgupta,dima767,ThomasSeliger,ahoramazdak,just2evil,vbonamy,,,,,,,,,,,,
appsmithorg/appsmith,Aishwarya-U-R,nidhi-nair,KelvinOm,rajatagrawal,sumitsum,sharat87,ankitakinger,NandanAnantharamu,sbalaji1192,Irongade,sneha122,akash-codemonk,jsartisan,Rishabh-Rathod,sondermanish,rohitagarwal88,tanvibhakta,arunvjn,AmanAgarwal041,berzerkeer,Vijetha-Kaja,ohansFavour,Druthi,hetunandu,nayan-rafiq,vsvamsi1,Parthvi12,rahulbarwal,ayushpahwa,AnaghHegde
arangodb/arangodb,jsteemann,MBkkt,palashkaria,maierlars,mpoeter,apetenchea,dothebart,hkernbach,markuspf,neunhoef,mchacki,Dronplane,goedderz,KVS85,Simran-B,ajurdak,cpjulia,shd8,kvahed,jvolmer,adityamukho,elade9977,nerpaula,alexbakharew,pluma4345,MUDS7,CryptoNinjaGeek,Minstel,ohsp123-arango,joerg84
archlinuxarm/PKGBUILDs,iDigitalFlame,akaWolf,wirewc,ascendbeing,vinibali,dacioromero,stephenmk,davidbeauchamp,sfan5,1ace,0xFEEDC0DE64,rocketstrong600,sharpenedblade,theironrobin,nxshock,bswartz,fanquake,yuvadm,graysky2,,,,,,,,,,,
aria2/aria2,qianbinbin,ECLuckyHe,HaleTom,fgvieira,fenopa,kc991229,yixinBC,ErSandeepRajput,shishirong,dmitry-ov,wastemans,bobbyrahmanda13,pierrbt,barkoder,carlos-a-g-h,1337996517,VPanteleev-S7,amsh12,frucelee,Zhouqluo,andrii-suse,badrelmers,slyfox1186,980202006,PPeanutButter,Seifon,mikeggh,TheSoumilArora,bereane,Barafu
asciinema/asciinema,sickill,Low-power,AkechiShiro,hash3liZer,PierreMarchand20,UrNightmaree,adjurk,maho,vorburger,ghcDict,soroshsabz,jikkuatwork,cosmos1721,tomowang,,,,,,,,,,,,,,,,
astropy/astropy,pllim,nstarman,mhvk,eerovaher,meeseeksmachine,saimn,cmarmo,WilliamJamieson,astrofrog,taldcroft,larrybradley,Cadair,Mubin17,olebole,dhomeier,mcara,Maia-jp,bmorris3,ManonMarchand,arthurxvtv,nden,bsipocz,mwcraig,hamogu,CaioCoutinhoP,perrygreenfield,seberg,braingram,bjbomfim,AiIuru5
Automattic/mongoose,vkarpov15,hasezoey,IslandRhythms,AbdelrahmanHafez,Uzlopak,orgads,alexbevi,lorand-horvath,JavaScriptBach,mrdulin,juona,BioSurienDG,nirvikpurkait,sibelius,imduchy,MohOraby,RobertsSpaceIndustries,rkreienbuehl,dangtony98,ramos-ph,khantopa,upirr,Kamikadze4GAME,taozi0818,hardcodet,thaoula,RealAlphabet,harvey-sg,davewichers,Aralhi
aws/aws-sdk-net,normj,ashishdhingra,dscpinheiro,danielmarbach,peterrsongg,ashovlin,boblodgett,Beau-Gosse-dev,muhammad-othman,BryanCrotaz,khteh,roelvandenbrand,jbtamaresgit,Cussa,DetlefGolze,greffgreff,RenesansJG,jerome-zenfolio,ctartamella,bmcclory,acraven,PuneetKumar-02,benlongo,PeterBenko,martincostello,mwinterb,esbenr,PriyankaHariharan,VRCWizard,renemadsen
Azure/azure-sdk-for-java,azure-sdk,alzimmermsft,weidongxu-microsoft,kushagraThapar,xinlian12,mssfang,srnagar,FabianMeiswinkel,jeet1995,samvaity,g2vinay,v-hongli1,XiaofeiCao,Netyyyy,vcolin7,saragluna,anuchandy,lmolkova,billwert,conniey,mbhaskar,ibrahimrabab,jpalvarezl,jairmyree,trande4884,mrm9084,trask,haolingdong-msft,JonathanGiles,TheovanKraay
Azure/azure-sdk-for-python,azure-sdk,xiangyan99,annatisch,YalinLi0312,kashifkhan,l0lawrence,pvaneck,kristapratico,swathipil,msyyc,lmazuel,mccoyp,scbedd,jeremydvoss,catalinaperalta,MilesHolland,vincenttran-msft,simorenoh,diondrapeck,elliotzh,jalauzon-msft,kdestin,Stephen1993,mrm9084,wangchao1230,minwoolee-msft,mjafferi-msft,bastrik,avanigupta,mengaims
balderdashy/sails,sailsbot,eashaw,Goostavo,Sampfluger88,jogbuwa,vidueirof,AbubakarZorrain,schollii,milarevictor,mushthaque7,rfalzone,DominusKelvin,neonexus,bbalat,tonysparksUC,pineconesundae,lcborn4,notblank00,RaveloMevaSoavina,rupeshpadhye,ebarojas,NachtRitter,cincodenada,,,,,,,
bareos/bareos,sebsura,arogge,bruno-at-bareos,pstorz,alaaeddineelamri,SamuelBoerlin,joergsteffens,sduehr,lluuaapp,tuxmaster5000,sebastianlederer,TheCyberBrick,,,,,,,,,,,,,,,,,,
baserproject/basercms,HungDV2022,nghiem-mb,ryuring,seto1,katokaisya,gondoh,kaburk,fuchigam1,CUkomori,GUSSAN-BEEDAN,teratai3,kk-uchino,,,,,,,,,,,,,,,,,,
bblimke/webmock,lucasarnaud,inkstak,spikeheap,marcrohloff,dmitri-minkin,Nakilon,aka-nez,brevio-nicolay,nickrisaro,james-ai,thelowlypeon,nickmealey,severinkaelin,totheroh,bblimke,Bodacious,halo,,,,,,,,,,,,,
beefproject/beef,bcoles,nzqo,Bani4kaa,AliBahlol,EvilDarkSoul,DannyBrock123,akshay123rai,swifty29320,siissioe123,manhtuan28,H28112008n,cotne1233,jsthonk,sayedarman,amartinsec,francestu96,valimikayilov,Vandalstreets,electricsinge,tramway23,ETHICPILOT,Hmmmmmmmmmmmhm,Lalosalamanc,Ginkycart,master142,nikhilonline,jcrew99,CreeperGamerGitHub,hackerishan03,1983Dan1983
bihealth/sodar-server,mikkonie,gromdimon,sellth,,,,,,,,,,,,,,,,,,,,,,,,,,,
bitcoin-wallet/bitcoin-wallet,Jones098,ChanarinThintip,Spyson,Quail004,Cleopatra25787778678,Porch236676,ghiegleen,soheilwikey1,wissembenayed53,farrarlarry9,Helloween45,Twonpuncho,Coins2payroll,diccey,gilbertalgordo,Doughice,nmm5060,773031187,shortyminingmybussiness,Hilltopperjm,Nikola35a,Alward0,Laye27,PUNKWISE,schildbach,minimayki6232,Sokhanetaze80,sharonleerichardson88,Xbjb8rVZ7ZJquS96Y4AJtNE4Pe9eNY1QGv,Tomkham285
bitcoin/bitcoin,fanquake,DrahtBot,hebasto,achow101,furszy,pinheadmz,TheCharlatan,Sjors,ryanofsky,brunoerg,glozow,ajtowns,instagibbs,dergoegge,mzumsande,stickies-v,josibake,willcl-ark,theStack,vasild,pablomartin4btc,theuni,ishaanam,martinus,ismaelsadeeq,Xekyo,darosior,jamesob,LarryRuane,sdaftuar
bluesky-social/social-app,pfrazee,ansh,alimony,hs4man21,loganrosen,renahlee,estrattonbailey,llllvvuu,bnewbold,DavidBuchanan314,benharri,jsoref,Jacob2161,gitstart,str4d,xnuk,Emma-Fuller,matinzd,monicaellerose,jaysoni-ash42,rezaaa,tboba,scottdotjs,mackuba,parion,mozzius,agentjabsco,ianklatzco,jetpacktuxedo,bdimcheff
bokeh/bokeh,mattpap,bryevdv,ianthomas23,mosc9575,rielAsh24,Hoxbro,philippjfr,jbednar,bryanwweber,Azaya89,xiaoyang-sde,cdeil,golmschenk,TheoMathurin,jlstevens,MarcSkovMadsen,jbkalmbach,osule,pavithraes,muendlein,tcmetzger,yah-yuan,KesharwaniArpita,nhthn,giladpn,RajatShenoi,solstag,Aziuth,tim-v3,godlike64
boxbilling/boxbilling,evrifaessa,BelleNottelling,buycn,wocsol,RitikBarnwal,jaapmarcus,haydenwalker980,kevanjr,FairyPenguin,zohaib87,,,,,,,,,,,,,,,,,,,,
Bram-Hub/Legup,04vmatsibekker,Bram28,hansongu123,19690ao,aesop0,charlestian23,jac-oblong,,,,,,,,,,,,,,,,,,,,,,,
bruvellu/cifonauta,RianBrenoPolonini,bruvellu,Felyppe1,joaopedrodiniz,Storti-Scatambuli,ArthurSimoesFerreira,M-n0ur,,,,,,,,,,,,,,,,,,,,,,,
buchen/portfolio,Nirus2000,buchen,pfalcon,OnkelDok,flywire,daveln,Morpheus1w3,cubinet-code,auchri,uok,chirlu,sheim-dev,Andie78,RomanLangrehr,roshanshariff,miniwark,kellerkind87,DavesGithub90,cmaoling,ChrisRBe,edemiguel,fernandomora,funnym0nk3y,vojtapolasek,alensiljak,forReason,ndsvw,maxpsq,mingus52,TheJiahao
buildbot/buildbot,p12tic,mokibit,pyup-bot,vibbo,ArthurPKFX,vx-i,pmisik,ivanov17,YngveNPettersen,lsgunth,Aaron-Chan,bb-nl,Mariatta,frenzymadness,felixsinger,MichaelOultram,slydiman,vext01,osvegn,tenta4,Try2Code,jtjbrady,lms-jk,akshayamadhuri,TheOnlyJoey,yan12125,terencehonles,mojca,kilo-gi,opoplawski
burnash/gspread,lavigne958,alifeee,butvinm,MagicMc23,zahrevsky,Mahima-ai,mishin,amey-neve,ACB-prgm,hawkash,kxvvv,PFython,erwin-d-austria,dgilman,botcs,,,,,,,,,,,,,,,
c-ares/c-ares,bradh352,bagder,bnoordhuis,timwoj,lixin-wei,ckerr,Chilledheart,ohadvano,alexey-tikhonov,omnivagant,korli,renodr,fdavis99,TurtleWilly,lifenjoiner,gjasny,dn-codes,debohman,TXTT2016,kylebevans,Kangie,gvanem,dimbleby,crrodriguez,,,,,,
ceph/ceph,zdover23,anthonyeleven,idryomov,vshankar,cbodley,adk3798,dparmar18,cyx1231st,batrick,rishabh-d-dave,nizamial09,lxbsz,yuvalif,rzarzynski,ljflores,Matan-B,pereman2,athanatos,phlogistonjohn,mattbenjamin,epuertat,ifed01,xxhdx1985126,ajarr,aclamk,Pegonzal,pkalever,trociny,petrutlucian94,yangdongsheng
channable/hoff,robbert-vdh,FPtje,alter2000,OpsBotPrime,DiegoDiverio,fatho,Riscky,AlexCELewis,HugoPeters1024,crtschin,DanielNoord,oanoshyn,ruuda,,,,,,,,,,,,,,,,,
chilek/lms,rafalpietraszewicz,interduo,chilek,tudor2k3,,,,,,,,,,,,,,,,,,,,,,,,,,
chocolate-doom/chocolate-doom,turol,ceski-1,fabiangreffrath,rfomin,JNechaevsky,fragglet,mikeday0,Rathmox,DankRank,barnettg,QuartzSTQ,orbea,jacobrogers256,mc776,fawtytoo,,,,,,,,,,,,,,,
chriskohlhoff/asio,ecorm,antrv,qicosmos,uniqss,battlmonstr,iamhaiwen,kuntryn,jwt27,ecatmur,equippedmandingo,bgemmill,Tradias,luzpaz,andrei-datcu,alexbeattie42,anagno,kassane,cbrl,hanusek,slowriot,aberaud,mtnpke,fonqL,cjbradfield,Md-Aliullah,Kelvinyu1117,ostropik,systocrat,zagrichanskiy,fabiorossetto
CitizensDev/Citizens2,mcmonkey4eva,BreadcrumbIsTaken,fullwall,aml2023529,Aitooor,mrfloris,mani1232,moda84,TBAProgramming,TymekSL,m00nlygreat,twist3d99,thelipe7,615303619,NaysKutzu,YOKKUU,YodaZen,HowardZHY,Distolfix,SmallXY,welove69,Leviih01,sebseb7,DogLoverPink,eldiosx,MightyGoldenOctopus,,,,
citrusframework/citrus,bbortt,turing85,christophd,binutzu,Ivan-Polkovnikov-94,bthdimension,,,,,,,,,,,,,,,,,,,,,,,,
civetweb/civetweb,bel2125,jfriesne,mb12,DL6ER,AlbertShown,niklasf,linev,szsam,Biswa96,franckarts,maciejbocianski,liurui39660,PengZheng,zeroxer,greenrobot,Peter-R-Huber,kica-z,egorkonovalov,ericfangxu,Hippobotus,pavel-pimenov,kbkpbot,jespo655,paperino1983,ozenozkaya,JonasBorchelt,minhanghuang,lobolanja,caglarkarahan,nemethz5
ckan/ckan,wardi,smotornyuk,pdelboca,amercader,JVickery-TBS,thegostev,kowh-ai,vgeorgieva-cstbg,Gauravp-NEC,ThrawnCA,TomeCirun,spwoodcock,Zharktas,nisha-nec,BonaBeavis,LukeTully,Filip3mac,pkernevez,jaamarks,IndikaUdagedara,batey870,anuveyatsu,isomemo,jqnatividad,FuhuXia,C0d9Hunter,MichaelHarmsTIB,jze,mepearson,shashigharti
CleverRaven/Cataclysm-DDA,Maleclypse,Procyonae,TheShadowFerret,anoobindisguise,RenechCDDA,GuardianDll,bombasticSlacks,Qrox,irwiss,fairyarmadillo,Karol1223,dseguin,SurFlurer,kevingranade,andrei8l,randomtyper,NetSysFire,PatrikLundell,Venera3,casswedson,Rewryte,Fris0uman,sadenar,MNG-cataclysm,Standing-Storm,Kamayana,Daved27hundred,CatWithFourEyes,DoctorBoomstick,Drew4484
cloudera/hue,Harshg999,ranade1,wing2fly,bjornalm,agl29,amitsrivastava,athithyaaselvam,JohanAhlen,quadoss,SoniaComp,pychheda,sumtumn,g3rg0,pid998877,Madhukar98,HalimKim,chenlein,zhangzhaohuazai,deept-creditone,sreenaths,cgkbfrd,pratik4891,nidhibhatg,ericbrow,KeithTt,sbbagal13,BoomLee1024,Jrebel-i,sqxinquan,Eanhain
cloudfoundry/uaa,strehle,Tallicia,cf-gitbot,bruce-ricard,hsinn0,swalchemist,adrianhoelzl-sap,peterhaochen47,cache-sk,mikeroda,saurabh-rahate,angusm43ge,jaristiz,heissa83,wberry-godaddy,jaisankar1,DanSalt,,,,,,,,,,,,,
commontk/CTK,jcfr,jamesobutler,lassoan,Punzo,malbi,pieper,JamesHOOOOO,pandas-a11y-11,ZhangAdjy,sjh26,freeman16601,,,,,,,,,,,,,,,,,,,
company-mode/company-mode,dgutov,willemml,technician77,viliaapro,yugaego,JonatanSahar,paaguti,mikaelspringer,kuba-orlik,Jdogzz,crotoc,mihaiolteanu,jellelicht,jdtsmith,,,,,,,,,,,,,,,,
composer/composer,Seldaek,stof,fredden,drupol,theoboldalex,mxr576,cafferata,dzuelke,mvorisek,naderman,Toflar,sshymko,llaville,mteu,helhum,dunglas,Attia-Ahmed,vtsykun,glaubinix,localheinz,aschempp,BernhardK91,lkrms,imdmahajankanika,WyriHaximus,imme-emosol,MirakuSan,physikerwelt,fr3nch13,Saad-Samba
composer/packagist,Seldaek,94noni,Spomky,stof,JonPurvis,vtsykun,SeymaAkdoganRepalogic,pbek,VidurK2,Davigugu55,Ocramius,drbyte,xiaohuilam,tcpdump-examples,unix-dude,,,,,,,,,,,,,,,
confluentinc/librdkafka,emasab,milindl,pranavrth,mahajanadhitya,wmorgan6796,mathispesch,mensfeld,bitemyapp,dstelljes,notnoop,dpcollins-google,Ten0,rizkyarlin,roxelo,anmonteiro,balubinnu,alpire,snar,pavel-pimenov,fullvindersofr,migarc1,anchitj,lvhuat,WouterVanNifterick,jainruchir,shanson7,samar-elsayed,aivarsk,Pilipets,chen9t
CppMicroServices/CppMicroServices,tcormackMW,jeffdiclemente,carneyweb,Monika032,pelliott-mathworks,BrianWeed,thrtouati,ShivamNegi,XJ-0461,insi-eb,Burgch,springLee1989,,,,,,,,,,,,,,,,,,
curl/curl,bagder,icing,dfandrich,vszakats,jay,emanuele6,pheiduck,MarcelRaad,Karthikdasari0423,janbrummer,kop316,RaitoBezarius,ryandesign,gvanem,piru,markg85,injertao,jzakrzewski,bneradt,MonkeybreadSoftware,MichalPetryka,nmoinvaz,calvin2021y,user8446,jhauga,monnerat,kyled-dell,lucasnetau,tatsuhiro-t,Futaura
cython/cython,scoder,da-woods,mattip,matusvalo,h-vetinari,dalcinl,0dminnimda,imphil,vyasr,tacaswell,matttyson,ferdnyc,eli-schwartz,garychia,TeamSpen210,henryiii,isuruf,lysnikolaou,WillAyd,frederikdyrmose,evan0greenup,socketpair,Ericgig,EwoutH,leofang,hire-marat,marcwimmer,gamedev33,runzhi214,DimitriPapadopoulos
CZ-NIC/pyoidc,schlenk,tpazderka,infohash,chrislondon,khillman,mansenfranzen,gbip,wagnerpeer,,,,,,,,,,,,,,,,,,,,,,
d3/d3,mbostock,Fil,unidefi,curran,tophtucker,hamirmahal,diogoteles08,mbasakCinedigmInd,Meenakshise,software-provider,heysujal,karthiktrp,karthikeyan-accuknox,jinsheng200303,yelnyafacee,ShatilKhan,work933k,jayaramkasi,rbogireddy,Buroni,bennlich,nachocab,,,,,,,,
danmar/cppcheck,chrchr-github,danmar,pfultz2,firewave,rwiesenfarth,samopolacek,mptre,orbitcowboy,andrew-aitchison,hwhsu1231,DavidKorczynski,PeterSchops,sthagen,SChernykh,longradix,tbsmark86,spoorcc,jedrzej-klocek,healytpk,fu7mu4,SCHIZOPILL,chrfranke,carlatcrown,YangMoo,adbancroft,ledocc,apuly,BlamKiwi,,
darktable-org/darktable,TurboGit,jenshannoschwalm,victoryforce,ralfbrown,dterrahe,kmilos,MStraeten,elstoc,jpellegrini,dtorop,zisoft,HSUfineprint,wpferguson,Nilvus,Solarer,gi-man,LebedevRI,s7habo,KarlMagnusLarsson,difrkaguilar,da-phil,parafin,ActarusLeGrand,kofa73,AlicVB,sgotti,bgodole,ptilopteri,serkan-maker,asdkant
darold/pgbadger,darold,systequ,bbourgier,Krysztophe,tanujbolisetty,vp-lab,Tiago-Anastacio,ncalero-uy,fabiogeiss,jcasanov,amacvar,,,,,,,,,,,,,,,,,,,
DataDog/documentation,alai97,estherk15,rtrieu,kayayarai,drichards-87,buraizu,urseberry,hestonhoffman,guacbot,cswatt,aliciascott,davidejones,juan-fernandez,StefonSimmons,andrea-mosk,nenadnoveljic,caseycull,rajat-luthra-ddog,sgnn7,sourabhkatti,crunchypistachiobutter,ncreated,devindford,silversupreme,gturbat,jamiemilstein,Kaderinho,nhientrandatadog,maycmlee,sumedham
DFHack/dfhack,myk002,TaxiService,ab9rf,lethosor,johncosker,fricy,silverflyone,Penumbra69,plule,quietust,Franzyd,Cubittus,Codedependent77,Az6336,TSM-EVO,BeerNTacos,wsfsbvchr,cppcooper,Dragoon209,uecasm,DragonEyeNinja,Dawn-Xu-helloworld,Totherphoenix,cvuchener,Saint-Ajora,drhead,GentlemanSkelly,silverwing235,yourmum21,sparr
dita-ot/dita-ot,jelovirt,raducoravu,chrispy-snps,infotexture,robander,darrenn-jackson,stefan-jung,Jon-Hill-i2,adamzkover,weiwu-zhang,jlacour31,pdanaher,bird2tori,Radix999,yin-yang-alchemist,haolekatalon,mumashankar,rrcomtech,ToshihikoMakita,kirkilj,,,,,,,,,,
django/django,felixxm,nessita,shangxiao,ngnpope,charettes,sarahboyce,smithdc1,LilyFoote,Akash-Kumar-Sen,adamchainz,DevilsAutumn,mgaligniana,timgraham,PoByBolek,shaib,thibaudcolas,Jacob1507,gregorjerse,bigfootjon,anorthall,LomaxOnTheRun,fsbraun,carltongibson,olibook,jribbens,ewjoachim,sainipray,raydeal,AMK9978,browniebroke
